benchexpr10 , comp , mcrl2-jittyc , 0 , 0.20 , 10076 , 1904
benchexpr10 , exec , mcrl2-jittyc , kill-11 , 17.22 , 10076 , 1732
benchexpr20 , comp , mcrl2 , 0 , 0.40 , 10076 , 1736
benchexpr20 , exec , mcrl2 , 0 , 36.12 , 10076 , 1800
benchexpr20 , comp , mcrl2-jittyc , 0 , 0.20 , 10076 , 1908
benchexpr20 , exec , mcrl2-jittyc , kill-11 , 14.71 , 10076 , 1912
benchexpr22 , comp , mcrl2 , 0 , 0.20 , 10076 , 1732
benchexpr22 , exec , mcrl2 , timeout , 140.10 , 10076 , 1908
benchexpr22 , comp , mcrl2-jittyc , 0 , 0.20 , 10076 , 1900
benchexpr22 , exec , mcrl2-jittyc , kill-11 , 14.81 , 10076 , 1848
benchsym10 , comp , mcrl2 , 0 , 0.20 , 10076 , 1912
benchsym10 , exec , mcrl2 , 0 , 0.10 , 4080 , 76
benchsym10 , comp , mcrl2-jittyc , 0 , 0.20 , 10076 , 1848
benchsym10 , exec , mcrl2-jittyc , 0 , 14.81 , 10076 , 1852
benchsym20 , comp , mcrl2 , 0 , 0.20 , 10076 , 1732
benchsym20 , exec , mcrl2 , 0 , 46.13 , 10076 , 1796
benchsym20 , comp , mcrl2-jittyc , 0 , 0.20 , 10076 , 1732
benchsym20 , exec , mcrl2-jittyc , 0 , 15.81 , 10076 , 1744
benchsym22 , comp , mcrl2 , 0 , 0.20 , 10076 , 1880
benchsym22 , exec , mcrl2 , timeout , 140.10 , 10076 , 1848
benchsym22 , comp , mcrl2-jittyc , 0 , 0.20 , 10076 , 1900
benchsym22 , exec , mcrl2-jittyc , 0 , 18.52 , 10076 , 1776
benchtree10 , comp , mcrl2 , 0 , 0.20 , 10076 , 1912
benchtree10 , exec , mcrl2 , timeout , 140.09 , 10076 , 1884
benchtree10 , comp , mcrl2-jittyc , 0 , 0.20 , 10076 , 1728
benchtree10 , exec , mcrl2-jittyc , timeout , 140.01 , 10076 , 1912
benchtree20 , comp , mcrl2 , 0 , 0.20 , 10076 , 1896
